Sample,pH,Salinity_dS_m
LSG 001,7.4,1.64
LSG 002,7,1.86
HF 001,6.3,0.72
HF 002,7.2,1.48
BRK 2403 038,5.6,1
BRK 2403 045,4,19.1
BRK 2403 053,8.1,0.75
BRK 2403 054,3.7,3.57
BRK 2403 055,8.1,0.67
BRK 2403 061,7,0.54
20230601 134026 CDK,5.2,0.33
DVS 001,5.5,0.72
BRK 001,4.9,1.2
ARC 010,6.3,4.07
BRK 009,5.4,1.52
BRK 1123029,5.8,1.69
DVS 2311003,4.7,0.83
DVS 2311007,5.5,1.31
DVS 2311018,5.4,0.7
DVS 2311022,5.8,1.08
DVS 2311024,5.8,1.4
DVS 2311025,6,0.9
DVS 2311030,6.6,0.74
DVS 2311036,7,0.64
DVS 2311053,6.4,0.97
DVS 2311061,5.7,1.52
DVS 2311066,6.3,1.42
DVS 2311072,5.8,1.31
DVS 2311081,6.1,1.07
BRK 2403 002,4.9,0.37
BRK 2403 006,7.7,0.4
BRK 2403 017,6.6,0.63
BRK 2403 027,7.4,0.47
BRK 2403 033,7.1,0.37
BRK 2403 049,7.9,0.222
LSG 003,7.5,0.513
DVS 2311124,6.5,0.786
DVS 2311127,8.2,1.03
DVS 2311130,7.4,0.934
DVS 2311133,7.7,0.843
DVS 2311136,7.4,1.03
DVS 2311139,7.8,0.882
DVS 2311145,6.9,2.01
DVS 2311150,6.6,0.708
LA 002,7.9,0.408
LA 020,8.4,0.956
LA 023,7.9,0.328
LA 026,7.5,0.541
DVS 2406002,6,0.174
DVS 2406005,6,0.315
DVS 2406008,6.2,0.288
DVS 2406010,6.7,0.208
DVS 2406012,6.7,0.278
DVS 2406014,6.4,0.24
DVS 2406019,6.6,0.175
DVS 2406021,6.2,0.2
DVS 2406023,6.7,0.278
DVS 2406026,6.8,0.364
DVS 2406029,6.5,0.498
DVS 2406052,6.3,0.371
DVS 2406055,6.1,0.266
DVS 2406058,4.8,0.252
DVS 2406061,6,0.317
DVS 2406064,6,0.162
DVS 2406066,6,0.29
DVS 2406068,5.8,0.321
DVS 2406072,5.4,0.26
DVS 2406074,7,0.881
DVS 2406077,4.9,0.46
DVS 2406080,4.9,0.48
DVS 2406083,4.9,0.736
DVS 2406086,5.1,0.802
DVS 2406089,7.6,16.3
DVS 2406092,7.1,6.27
DVS 2406094,5.2,0.43
DVS 2406097,4.9,0.62
DVS 24060100,7.2,0.35
DVS 24060103,7.6,0.32
DVS-2407110,0.25,0.1
DVS-2406179,0.4,0.1
DVS-2406177,0.37,3.1
DVS-2406176,1.36,13
DVS-2406174,0.37,0.6
DVS-2406172,2.34,0.5
DVS-2407119,0.53,1
DVS-2407116,0.34,0.2
DVS-2407114,0.3,0.1
DVS-2407111,0.27,0.2
DVS-2407129,0.26,0.1
DVS-2407126,0.17,0.1
DVS-2407123,0.15,0.1
DVS-2407122,0.21,ND
DVS-2407137,0.29,0.1
DVS-2407135,0.18,0.2
DVS-2407134,0.43,ND
DVS-2407132,0.21,0.1
LA-030,0.19,0.1
